年月日,时分秒,纬度,经度,深度,震级,震中参考地名
2010/4/1,05:50.,40.3,116.21,10,1,北京昌平
2010/4/16,25:05.,40.13,115.93,8,3.2,北京昌平
2010/4/22,16:25.,39.81,116.79,5,1.9,北京通州
2012/5/3,58:50.,39.95,116.74,6,1.3,北京通州
2012/5/11,56:56.,40.03,116.54,6,1.7,北京朝阳
2012/5/25,03:16.,40.19,116.98,9,1,北京平谷
2012/5/25,31:30.,40.22,116.98,6,1.8,北京平谷
2012/5/26,49:19.,40.06,116.67,6,1.2,北京顺义
2012/5/27,59:04.,40.19,116.54,6,1,北京顺义
2012/5/29,32:31.,40.08,116.08,6,1,北京门头沟
2012/5/30,50:56.,40.44,116.31,6,1.1,北京怀柔
2012/6/8,59:03.,40.37,116.09,6,1.5,北京延庆
2012/6/13,15:44.,39.92,116.17,6,1.1,北京石景山
2012/6/15,30:33.,40.08,116.33,6,1.2,北京昌平
2012/6/26,27:21.,39.92,115.78,0,2.4,北京门头沟
2012/6/29,00:00.,40.11,116.53,6,1.1,北京顺义
2012/6/29,16:50.,40.1,116.52,6,1.1,北京顺义
2012/6/29,47:11.,40.11,116.52,5,1.3,北京顺义
2012/7/1,17:00.,40,116.64,8,1.4,北京通州
2012/7/4,06:03.,40.11,115.83,7,1.2,北京门头沟
2012/7/13,33:40.,39.9,115.79,0,2.5,北京房山
2012/7/24,47:49.,40.04,116.24,8,2.4,北京海淀
2012/7/25,01:08.,40.44,115.9,8,1.4,北京延庆
2012/7/27,33:18.,40.02,116.55,6,1.1,北京朝阳
2012/7/30,33:08.,40.13,117.28,6,2.1,北京平谷
2012/8/5,32:00.,40.36,116.58,6,1.3,北京怀柔
2012/8/6,09:03.,40.09,116.18,8,1.1,北京海淀
2012/8/6,01:59.,39.94,115.8,0,2.6,北京门头沟
2012/8/9,43:06.,39.93,115.88,0,2.7,北京门头沟
2012/8/22,43:08.,40.34,116.57,6,1.1,北京怀柔
2012/8/26,17:52.,40.12,117.27,6,2.1,北京平谷
2012/9/3,37:19.,40.15,115.94,6,1,北京昌平
2012/9/4,07:23.,40.5,115.93,7,2.4,北京延庆
